Species	Ab_openT0	Ab_openT6	Ab_openT12	Ab_openT18	Ab_openT24	Ab_openT30	Ab_openT36	Ab_openT42	Ab_openT48	Ab_openT74	Ab_openT81	Ab_openT87
Abutaselloana	2	3	3	3	3	3	3	3	3	2	2	2
Ardisiaguianensis	3	4	3	3	3	3	3	3	3	3	3	3
Calatheamonophylla	24	26	27	27	26	26	27	27	27	29	28	27
Cinnamodendrondinisii	0	5	4	4	4	3	3	2	2	1	1	1
Ctenanthelanceolata	5	5	5	6	6	7	7	7	7	7	9	11
Euterpeedulis	24	22	26	28	29	29	31	35	34	37	43	40
Geonomagamiova	2	2	3	3	3	3	2	3	3	1	1	1
Heteropterysnitida	3	3	3	3	3	3	3	3	3	2	2	2
Ingasessilis	7	7	7	7	7	7	7	6	6	6	5	4
Maytenusrobusta	3	3	3	3	3	3	3	3	3	3	3	3
Miconiacubatanensis	5	5	5	5	5	5	5	6	6	6	6	6
Miconiapussiliflora	8	8	8	8	5	5	5	5	4	2	2	2
Mollinediaschottiana	4	4	4	3	3	3	3	3	3	3	2	2
Ocoteacatharinensis	5	5	7	7	5	6	4	4	3	3	2	2
Ocoteadispersa	2	2	2	3	4	5	6	6	6	4	4	4
Phaneramicrostachya	0	0	0	0	0	4	5	6	5	7	2	1
Rudgeajasminoides	13	13	13	13	13	13	13	12	12	14	11	10
Serjaniacommunis	5	5	5	5	5	7	7	7	8	8	7	6
